abn,charity_name,state,charity_size,conducted_activities_2016,main_activity_2016,operates_in_vic,staff_full_time_2016,staff_part_time_2016,staff_casual_2016,staff_volunteers_2016,government_grants_2016,donations_and_bequests_2016,all_other_revenue_2016,total_revenue_2016,other_income_2016,total_gross_income_2016,employee_expenses_2016,interest_expenses_2016,grants_and_donations_made_for_use_in_australia_2016,grants_and_donations_made_for_use_outside_australia_2016,all_other_expenses_2016,total_expenses_2016,net_surplus_deficit_2016,ABN_Validation
91111111122,Annecto Inc_ACNC GROUP,VIC,Large,Y,Aged Care,Y,153,188,59,NA,27238045,51412,4035340,31324797,NA,31324797,19687115,0,0,0,10337123,30024238,1300559,Invalid ABN
91111111215,Latvian Friendly Society_ACNC GROUP,VIC,Large,Y,Aged Care,Y,5,55,21,5,1743061,221933,1833911,3798905,0,3798905,2934524,0,250,0,984343,3919117,-120212,Invalid ABN
91111111151,Catholic Women's League of Victoria & Wagga Wagga_ACNC GROUP,VIC,Small,Y,Civic Advocacy,Y,1,0,0,1104,0,29063,209881,238944,0,238944,68492,NA,26451,0,179054,273997,-35053,Invalid ABN
91111111179,Fusion Australia_ACNC Group,VIC,Large,Y,Economic Social Community,Y,29,100,46,601,5497185,780144,3794255,10071584,5248,10076832,5514309,42832,26231,81093,4812995,10477460,-400628,Invalid ABN
91111111197,Infoxchange_ACNC Group,VIC,Large,Y,Economic Social Community,Y,61,21,22,30,0,1989,11793625,11795614,0,11795614,7270412,0,0,0,4330430,11600842,194772,Invalid ABN
91111111244,Mukti Australia_ACNC Group,VIC,Medium,Y,Economic Social Community,Y,2,4,0,250,0,643690,117240,760930,0,760930,222046,NA,0,438431,168016,828493,-67563,Invalid ABN
91111111261,Preston Neighbourhood House_ACNC GROUP,VIC,Large,Y,Economic Social Community,Y,2,35,2,62,530379,11615,593276,1135270,11155,1146425,791789,0,1980,0,278537,1072306,74119,Invalid ABN
91111111380,OM Australia Inc_ACNC Group,VIC,Medium,Y,Economic Social Community,Y,0,0,0,1,0,341255,0,341255,44,341299,0,NA,0,281400,59817,341217,82,Invalid ABN
91111111134,Avocare_ACNC GROUP,VIC,Large,Y,Emergency Relief,Y,3,2,16,0,NA,9844,1909894,1919738,0,1919738,1210746,-9,0,0,752489,1963226,-43488,Invalid ABN
91111111180,G-Force Recruitment_ACNC GROUP,VIC,Large,Y,Employment Training,Y,352,20,159,0,4163437,0,18322777,22486214,-14413,22471801,19102005,0,58909,0,2962641,22123555,348246,Invalid ABN
