abn,charity_name,state,charity_size,conducted_activities_2016,main_activity_2016,operates_in_vic,staff_full_time_2016,staff_part_time_2016,staff_casual_2016,staff_volunteers_2016,government_grants_2016,donations_and_bequests_2016,all_other_revenue_2016,total_revenue_2016,other_income_2016,total_gross_income_2016,employee_expenses_2016,interest_expenses_2016,grants_and_donations_made_for_use_in_australia_2016,grants_and_donations_made_for_use_outside_australia_2016,all_other_expenses_2016,total_expenses_2016,net_surplus_deficit_2016,ABN_Validation
11037728335,Mitchell House Inc,VIC,Large,Y,Aged Care Activities,Y,3,51,2,10,2270588,14489,1339169,3624246,0,3624246,2507238,0,0,0,972829,3480067,144179,Valid ABN
11648685928,One Hundred & Seventy Nine Napier St Hostel Assoc Inc,VIC,Large,Y,Aged Care Activities,Y,6,48,35,6,0,2100,3887801,3889901,693675,4583576,3090963,0,0,0,1099956,4190919,392657,Valid ABN
11773286290,Korumburra Rsl Sub-Branch,VIC,Small,Y,Aged Care Activities,Y,0,0,0,10,0,20,15241,15261,0,15261,0,0,4328,0,12611,16939,-1678,Valid ABN
12004277418,Victorian Welfare Association,VIC,Large,Y,Aged Care Activities,Y,1,13,6,0,0,260000,793000,1053000,18000,1071000,661000,0,0,0,377000,1038000,33000,Valid ABN
12069130463,Baptcare Ltd,VIC,Large,Y,Aged Care Activities,Y,294,994,469,100,0,846000,154585000,155431000,10842000,166273000,85200000,0,0,0,67351000,152551000,13722000,Valid ABN
12153358313,The Biography Program,VIC,Small,Y,Aged Care Activities,Y,0,0,2,35,4000,30770,816,35586,0,35586,23274,0,0,0,8371,31645,3941,Valid ABN
12533636427,Carers Victoria Incorporated,VIC,Large,Y,Aged Care Activities,Y,22,57,3,2,10903030,806914,129696,11839640,0,11839640,7283127,0,0,0,4303197,11586324,253316,Valid ABN
12643054953,Frankston Rsl Sub Branch Inc,VIC,Large,Y,Aged Care Activities,Y,29,11,104,300,0,23061,16119723,16142784,0,16142784,4408143,0,457373,0,11374695,16240211,-97427,Valid ABN
13037159114,Wonthaggi & District Elderly Citizens Homes Inc,VIC,Large,Y,Aged Care Activities,Y,5,64,25,35,3134340,155747,1863061,5153148,22514,5175662,3596038,39950,0,0,1841851,5477839,-302177,Valid ABN
13709315410,The Trustee For Domov Special Accommodation Fund,VIC,Small,Y,Aged Care Activities,Y,0,0,0,0,0,10000,68647,78647,0,78647,0,0,0,0,87481,87481,-8834,Valid ABN
13838750256,Seaview House Residential Care Inc.,VIC,Large,Y,Aged Care Activities,Y,0,13,4,27,98000,64170,1271638,1433808,0,1433808,718687,0,0,0,608785,1327472,106336,Valid ABN
13997081950,Abbeyfield Society Dingley Village Inc,VIC,Small,Y,Aged Care Activities,Y,1,1,5,20,0,38432,180387,218819,0,218819,97637,0,0,0,107809,205446,13373,Valid ABN
14006180490,Edith Bendall Lodge,VIC,Large,Y,Aged Care Activities,Y,10,41,0,20,3110351,3138,1525736,4639225,81738,4720963,3079915,0,0,0,1884851,4964766,-243803,Valid ABN
