abn,charity_name,state,charity_size,conducted_activities,main_activity,staff_part_time_2017,staff_casual_2017,staff_full_time_2017,staff_volunteers,operates_in_vic,government_grants_2017,donations_and_bequests_2017,all_other_revenue_2017,total_revenue_2017,other_income_2017,total_gross_income_2017,employee_expenses_2017,interest_expenses_2017,grants_and_donations_made_for_use_in_australia_2017,grants_and_donations_made_for_use_outside_australia_2017,all_other_expenses_2017,total_expenses_2017,net_surplus_deficit_2017,ABN_Validation
54162724521,1 Giant Mind Limited,VIC,Small,y,Mental Health And Crisis Intervention,0,0,0,2,y,0,1000,0,1000,56,1056,0,0,0,0,9236,9236,-8180,Valid ABN
49609881861,123Read2Me Limited,VIC,Small,y,Other Education,0,0,0,50,y,0,21189,0,21189,0,21189,0,0,0,0,6634,6634,14555,Valid ABN
15457928360,1st Serbian RSL Sub-Branch Welfare Patriotic Fund,VIC,Small,y,Social Services,0,0,0,5,y,0,0,275,275,10000,10275,0,0,0,0,0,0,10275,Valid ABN
55574399578,2 Francis Street Incorporated,VIC,Medium,y,Other Education,4,2,3,1,y,307334,1182,383,337652,0,337652,238809,0,0,0,47128,285937,51715,Valid ABN
58516404915,2 Pairs Each,VIC,Small,y,Emergency And Relief,0,0,0,4,y,0,288,0,288,0,288,0,0,0,0,288,288,0,Valid ABN
91705944048,2&5 Inc.,VIC,Medium,y,Other Health Service Delivery,2,0,2,10,y,100700,1783,98523,282699,0,282699,177802,0,0,0,117101,294903,-12204,Valid ABN
27707094986,2=1 Australia Inc,VIC,Small,y,Other Education,0,0,0,20,y,0,1300,0,7402,0,7402,0,0,0,0,15458,15458,-8056,Valid ABN
51565397836,2046 Kangaroo Flat Brigade,VIC,Small,y,Emergency And Relief,0,0,0,80,y,21680,36090,0,66035,0,66035,1550,0,0,0,72674,74224,-8189,Valid ABN
57603603916,2BME Foundation Limited,VIC,Small,y,"Economic, Social And Community Development",0,0,0,5,y,0,0,4,4,7833,7837,0,0,6288,0,140,6428,1409,Valid ABN
54282515129,300 Blankets,VIC,Small,y,Housing Activities,0,0,0,100,y,2082,22378,9684,34144,0,34144,0,0,11229,0,15774,27003,7141,Valid ABN
